subject	predicate	object	context
efec9602-c196-4366-9c77-c4edc1b15031	v:type	wh:media	ee970dde59537ce78228a5acd4ff1034bc4ea8b5
efec9602-c196-4366-9c77-c4edc1b15031	v:title	Solvay Conference 1927 Photograph—20	ee970dde59537ce78228a5acd4ff1034bc4ea8b5
