subject	predicate	object	context
fb0619c2-753d-49bc-9b4f-5638e6686a61	v:pt	World-System	b486347ba329048cc8e800f83fdf6c4643665515
fb0619c2-753d-49bc-9b4f-5638e6686a61	v:rt	c067fc03-5526-468b-8923-e116c2807fb4	b486347ba329048cc8e800f83fdf6c4643665515
fb0619c2-753d-49bc-9b4f-5638e6686a61	v:rt	a567f78e-75ff-4f6b-acd8-1711b8c45114	b486347ba329048cc8e800f83fdf6c4643665515
fb0619c2-753d-49bc-9b4f-5638e6686a61	v:rt	5284e00c-e05a-447d-a7b0-ac40f2a2bae4	b486347ba329048cc8e800f83fdf6c4643665515
fb0619c2-753d-49bc-9b4f-5638e6686a61	v:tag	scaffolds	b486347ba329048cc8e800f83fdf6c4643665515
