subject	predicate	object	context
2c075636-a78a-42dc-a6ac-f19978223aaf	v:pt	AlphaGo Move 37	4c75f84492a284169d99a3a3e213156a0d966e8f
2c075636-a78a-42dc-a6ac-f19978223aaf	v:rt	c0aaed4b-4a38-4792-b03f-cab6bb2903c9	4c75f84492a284169d99a3a3e213156a0d966e8f
2c075636-a78a-42dc-a6ac-f19978223aaf	v:rt	5284e00c-e05a-447d-a7b0-ac40f2a2bae4	4c75f84492a284169d99a3a3e213156a0d966e8f
2c075636-a78a-42dc-a6ac-f19978223aaf	v:tag	screed-t1-wave	4c75f84492a284169d99a3a3e213156a0d966e8f
2c075636-a78a-42dc-a6ac-f19978223aaf	v:tag	determinism	4c75f84492a284169d99a3a3e213156a0d966e8f
