subject	predicate	object	context
f8e44880-0eda-4d23-99f3-6f379b24048e	v:pt	David Hilbert	631d00f28a6d8fffc9904c3dd7eb918eff0b670a
f8e44880-0eda-4d23-99f3-6f379b24048e	v:rt	f1dd3c7d-50f3-48bc-ab56-bb26c85858eb	631d00f28a6d8fffc9904c3dd7eb918eff0b670a
f8e44880-0eda-4d23-99f3-6f379b24048e	v:rt	2cfb68da-c55c-4fe4-aa2a-4ffe08f3b42b	631d00f28a6d8fffc9904c3dd7eb918eff0b670a
f8e44880-0eda-4d23-99f3-6f379b24048e	v:rt	0ec8d6b5-54c1-454c-8505-44993a92ef9b	631d00f28a6d8fffc9904c3dd7eb918eff0b670a
f8e44880-0eda-4d23-99f3-6f379b24048e	v:rt	782fd032-a0b2-476b-ab05-ea12447b8648	631d00f28a6d8fffc9904c3dd7eb918eff0b670a
f8e44880-0eda-4d23-99f3-6f379b24048e	v:tag	screed-t1-collapse	631d00f28a6d8fffc9904c3dd7eb918eff0b670a
f8e44880-0eda-4d23-99f3-6f379b24048e	v:tag	determinism	631d00f28a6d8fffc9904c3dd7eb918eff0b670a
