subject	predicate	object	context
710be800-e812-4385-9f1f-7aad71eb7070	v:pt	Martin Knudsen	ea3a25f5fd56db2e109cd78fa587732e4d04dd3a
710be800-e812-4385-9f1f-7aad71eb7070	v:uf	Martin Hans Christian Knudsen	ea3a25f5fd56db2e109cd78fa587732e4d04dd3a
710be800-e812-4385-9f1f-7aad71eb7070	v:rt	e806fcd4-132a-4812-a379-e63a59635eaf	ea3a25f5fd56db2e109cd78fa587732e4d04dd3a
710be800-e812-4385-9f1f-7aad71eb7070	v:rt	108aa028-34fb-4a51-89fd-c594ca4cdfcd	ea3a25f5fd56db2e109cd78fa587732e4d04dd3a
710be800-e812-4385-9f1f-7aad71eb7070	v:tag	solvay-1927	ea3a25f5fd56db2e109cd78fa587732e4d04dd3a
