subject	predicate	object	context
fb0619c2-753d-49bc-9b4f-5638e6686a61	v:type	wh:con	55e9185bacb21ab078cd543592e009229bfc67c5
fb0619c2-753d-49bc-9b4f-5638e6686a61	v:title	World-System—4	55e9185bacb21ab078cd543592e009229bfc67c5
fb0619c2-753d-49bc-9b4f-5638e6686a61	v:sn	Following Wallerstein's nomenclature: a World-System (hyphenated) is one instance of a large-scale social system with a lifecycle — implying that there have been and will be others.  A World System (no hyphen) refers to the singular global system at any given time.  We use "World-System" rather than "civilization" because the latter has become semantically unusable, and because the hyphenated form carries the essential implication of plurality and succession that "civilization" has lost.	55e9185bacb21ab078cd543592e009229bfc67c5
