subject	predicate	object	context
0218f7c9-cc71-482e-932d-86894c18c75f	v:pt	Emile Henriot	c090024ea600cc17401b1a8c2b96a16feca2f710
0218f7c9-cc71-482e-932d-86894c18c75f	v:uf	Émile Henriot	c090024ea600cc17401b1a8c2b96a16feca2f710
0218f7c9-cc71-482e-932d-86894c18c75f	v:rt	e806fcd4-132a-4812-a379-e63a59635eaf	c090024ea600cc17401b1a8c2b96a16feca2f710
0218f7c9-cc71-482e-932d-86894c18c75f	v:rt	860baf5e-301b-4ac7-823f-829a29349f5c	c090024ea600cc17401b1a8c2b96a16feca2f710
0218f7c9-cc71-482e-932d-86894c18c75f	v:tag	solvay-1927	c090024ea600cc17401b1a8c2b96a16feca2f710
