subject	predicate	object	context
fc5d4463-f480-4502-b8a8-203ddbd4d447	v:pt	Pattern Language	67b92247b7328aaa226b660823362427f4f913ca
fc5d4463-f480-4502-b8a8-203ddbd4d447	v:rt	065ddf9c-bb58-4700-ba9a-4930170baa5e	67b92247b7328aaa226b660823362427f4f913ca
fc5d4463-f480-4502-b8a8-203ddbd4d447	v:rt	fd52cafd-8cc2-4ad5-8106-67b7e9bfb854	67b92247b7328aaa226b660823362427f4f913ca
fc5d4463-f480-4502-b8a8-203ddbd4d447	v:rt	9e068c70-b83b-4214-ae6b-b8bf83c4fd35	67b92247b7328aaa226b660823362427f4f913ca
fc5d4463-f480-4502-b8a8-203ddbd4d447	v:tag	scaffolds	67b92247b7328aaa226b660823362427f4f913ca
