subject	predicate	object	context
7bf2101d-3405-4d60-91c4-72223cadad4c	v:pt	Louis de Broglie	595e4d451706f00a0883341d301e08f3c26b8a04
7bf2101d-3405-4d60-91c4-72223cadad4c	v:uf	Louis-Victor-Pierre-Raymond, 7th Duc de Broglie	595e4d451706f00a0883341d301e08f3c26b8a04
7bf2101d-3405-4d60-91c4-72223cadad4c	v:rt	e806fcd4-132a-4812-a379-e63a59635eaf	595e4d451706f00a0883341d301e08f3c26b8a04
7bf2101d-3405-4d60-91c4-72223cadad4c	v:rt	b5b64601-f044-4019-9b3f-d41aec4b6b70	595e4d451706f00a0883341d301e08f3c26b8a04
7bf2101d-3405-4d60-91c4-72223cadad4c	v:rt	cdac2fae-f55d-4c0c-9d2a-c7061f3b86f7	595e4d451706f00a0883341d301e08f3c26b8a04
7bf2101d-3405-4d60-91c4-72223cadad4c	v:tag	solvay-1927	595e4d451706f00a0883341d301e08f3c26b8a04
