subject	predicate	object	context
1c20591e-b63d-4541-a091-050cd890940a	v:pt	Copenhagen Interpretation	52e4f71b5b2a66395a5acf7f60148d06049f0160
1c20591e-b63d-4541-a091-050cd890940a	v:rt	5284e00c-e05a-447d-a7b0-ac40f2a2bae4	52e4f71b5b2a66395a5acf7f60148d06049f0160
1c20591e-b63d-4541-a091-050cd890940a	v:rt	108aa028-34fb-4a51-89fd-c594ca4cdfcd	52e4f71b5b2a66395a5acf7f60148d06049f0160
1c20591e-b63d-4541-a091-050cd890940a	v:rt	c34e27f2-9dcc-408f-84ab-f0ba3d3c0cb2	52e4f71b5b2a66395a5acf7f60148d06049f0160
1c20591e-b63d-4541-a091-050cd890940a	v:tag	screed-t1-photo	52e4f71b5b2a66395a5acf7f60148d06049f0160
1c20591e-b63d-4541-a091-050cd890940a	v:tag	screed-t1-collapse	52e4f71b5b2a66395a5acf7f60148d06049f0160
1c20591e-b63d-4541-a091-050cd890940a	v:tag	determinism	52e4f71b5b2a66395a5acf7f60148d06049f0160
1c20591e-b63d-4541-a091-050cd890940a	v:tag	solvay-1927	52e4f71b5b2a66395a5acf7f60148d06049f0160
