subject	predicate	object	context
a567f78e-75ff-4f6b-acd8-1711b8c45114	v:pt	Subsidiarity	ba1548fbe69571dcc3282d1c5e3eb026759ee907
a567f78e-75ff-4f6b-acd8-1711b8c45114	v:rt	c067fc03-5526-468b-8923-e116c2807fb4	ba1548fbe69571dcc3282d1c5e3eb026759ee907
a567f78e-75ff-4f6b-acd8-1711b8c45114	v:rt	065ddf9c-bb58-4700-ba9a-4930170baa5e	ba1548fbe69571dcc3282d1c5e3eb026759ee907
a567f78e-75ff-4f6b-acd8-1711b8c45114	v:rt	f6501149-38e3-4e60-80b7-914a5f830a02	ba1548fbe69571dcc3282d1c5e3eb026759ee907
a567f78e-75ff-4f6b-acd8-1711b8c45114	v:tag	scaffolds	ba1548fbe69571dcc3282d1c5e3eb026759ee907
