subject	predicate	object	context
fbacc278-7de5-46a7-b28a-ed54dddf46ab	v:pt	Arthur Compton	0574f0f6f337dc8a664eedc11189f65e7fa44802
fbacc278-7de5-46a7-b28a-ed54dddf46ab	v:uf	Arthur Holly Compton	0574f0f6f337dc8a664eedc11189f65e7fa44802
fbacc278-7de5-46a7-b28a-ed54dddf46ab	v:rt	e806fcd4-132a-4812-a379-e63a59635eaf	0574f0f6f337dc8a664eedc11189f65e7fa44802
fbacc278-7de5-46a7-b28a-ed54dddf46ab	v:rt	d700b961-d092-43a8-a84a-c168a526e97e	0574f0f6f337dc8a664eedc11189f65e7fa44802
fbacc278-7de5-46a7-b28a-ed54dddf46ab	v:tag	solvay-1927	0574f0f6f337dc8a664eedc11189f65e7fa44802
