subject	predicate	object	context
84bcf8b7-6125-4338-b448-81bc3cdb2674	v:pt	Alan Turing	0dc8da6808cce885e79c7fd65e88ab776ca3295e
84bcf8b7-6125-4338-b448-81bc3cdb2674	v:rt	782fd032-a0b2-476b-ab05-ea12447b8648	0dc8da6808cce885e79c7fd65e88ab776ca3295e
84bcf8b7-6125-4338-b448-81bc3cdb2674	v:rt	Claude Shannon	0dc8da6808cce885e79c7fd65e88ab776ca3295e
84bcf8b7-6125-4338-b448-81bc3cdb2674	v:tag	screed-t1-wave	0dc8da6808cce885e79c7fd65e88ab776ca3295e
84bcf8b7-6125-4338-b448-81bc3cdb2674	v:tag	determinism	0dc8da6808cce885e79c7fd65e88ab776ca3295e
