subject	predicate	object	context
d700b961-d092-43a8-a84a-c168a526e97e	v:pt	C.T.R. Wilson	e8010e6b9fe6a79e58e920e80aaab513e0a3f33e
d700b961-d092-43a8-a84a-c168a526e97e	v:uf	Charles Thomson Rees Wilson	e8010e6b9fe6a79e58e920e80aaab513e0a3f33e
d700b961-d092-43a8-a84a-c168a526e97e	v:rt	e806fcd4-132a-4812-a379-e63a59635eaf	e8010e6b9fe6a79e58e920e80aaab513e0a3f33e
d700b961-d092-43a8-a84a-c168a526e97e	v:rt	fbacc278-7de5-46a7-b28a-ed54dddf46ab	e8010e6b9fe6a79e58e920e80aaab513e0a3f33e
d700b961-d092-43a8-a84a-c168a526e97e	v:tag	solvay-1927	e8010e6b9fe6a79e58e920e80aaab513e0a3f33e
