subject	predicate	object	context
543a53ed-c44c-4f57-b680-7ba09f464f96	v:pt	The Solvay Photo	4046f7acdd6ad3299b9d18b36fd86c625675afc5
543a53ed-c44c-4f57-b680-7ba09f464f96	v:bt	e806fcd4-132a-4812-a379-e63a59635eaf	4046f7acdd6ad3299b9d18b36fd86c625675afc5
543a53ed-c44c-4f57-b680-7ba09f464f96	v:tag	screed-t1	4046f7acdd6ad3299b9d18b36fd86c625675afc5
543a53ed-c44c-4f57-b680-7ba09f464f96	v:tag	determinism	4046f7acdd6ad3299b9d18b36fd86c625675afc5
543a53ed-c44c-4f57-b680-7ba09f464f96	v:tag	solvay-1927	4046f7acdd6ad3299b9d18b36fd86c625675afc5
