subject	predicate	object	context
13ed7cbf-1bde-45f2-b50e-cc69e9822337	v:pt	Hendrik Kramers	85931b5b9623251d8ab5cfdfa925194399f799d5
13ed7cbf-1bde-45f2-b50e-cc69e9822337	v:uf	Hans Kramers	85931b5b9623251d8ab5cfdfa925194399f799d5
13ed7cbf-1bde-45f2-b50e-cc69e9822337	v:uf	Hendrik Anthony Kramers	85931b5b9623251d8ab5cfdfa925194399f799d5
13ed7cbf-1bde-45f2-b50e-cc69e9822337	v:rt	e806fcd4-132a-4812-a379-e63a59635eaf	85931b5b9623251d8ab5cfdfa925194399f799d5
13ed7cbf-1bde-45f2-b50e-cc69e9822337	v:rt	108aa028-34fb-4a51-89fd-c594ca4cdfcd	85931b5b9623251d8ab5cfdfa925194399f799d5
13ed7cbf-1bde-45f2-b50e-cc69e9822337	v:rt	2653e0c2-e5d4-4054-a4dd-8a50787981c4	85931b5b9623251d8ab5cfdfa925194399f799d5
13ed7cbf-1bde-45f2-b50e-cc69e9822337	v:tag	solvay-1927	85931b5b9623251d8ab5cfdfa925194399f799d5
