subject	predicate	object	context
663b02c0-b30f-442a-ae75-6bcc4f76bace	v:pt	Léon Brillouin	33531943325f4eebf0868f872eae9d1d157c7eca
663b02c0-b30f-442a-ae75-6bcc4f76bace	v:uf	Leon Brillouin	33531943325f4eebf0868f872eae9d1d157c7eca
663b02c0-b30f-442a-ae75-6bcc4f76bace	v:uf	Léon Nicolas Brillouin	33531943325f4eebf0868f872eae9d1d157c7eca
663b02c0-b30f-442a-ae75-6bcc4f76bace	v:rt	e806fcd4-132a-4812-a379-e63a59635eaf	33531943325f4eebf0868f872eae9d1d157c7eca
663b02c0-b30f-442a-ae75-6bcc4f76bace	v:rt	13ed7cbf-1bde-45f2-b50e-cc69e9822337	33531943325f4eebf0868f872eae9d1d157c7eca
663b02c0-b30f-442a-ae75-6bcc4f76bace	v:tag	solvay-1927	33531943325f4eebf0868f872eae9d1d157c7eca
