subject	predicate	object	context
ae235952-0cea-4cba-84ec-5b99dab445e4	v:pt	David Bohm	2f43c68c77adf46393341d201c99a9a687ec31ac
ae235952-0cea-4cba-84ec-5b99dab445e4	v:rt	b5b64601-f044-4019-9b3f-d41aec4b6b70	2f43c68c77adf46393341d201c99a9a687ec31ac
ae235952-0cea-4cba-84ec-5b99dab445e4	v:rt	39acb620-ffe9-425c-a7fd-57f9380b1e2b	2f43c68c77adf46393341d201c99a9a687ec31ac
ae235952-0cea-4cba-84ec-5b99dab445e4	v:tag	determinism	2f43c68c77adf46393341d201c99a9a687ec31ac
ae235952-0cea-4cba-84ec-5b99dab445e4	v:tag	screed-t1-collapse	2f43c68c77adf46393341d201c99a9a687ec31ac
ae235952-0cea-4cba-84ec-5b99dab445e4	v:tag	screed-t1-wave	2f43c68c77adf46393341d201c99a9a687ec31ac
