subject	predicate	object	context
fb22ef14-ef4d-4693-89eb-b598f6742307	v:pt	Hendrik Kramers (Solvay 1927)	520ba4ddf21c7d0ce65204880750f2e04d864533
fb22ef14-ef4d-4693-89eb-b598f6742307	v:rt	108aa028-34fb-4a51-89fd-c594ca4cdfcd	520ba4ddf21c7d0ce65204880750f2e04d864533
fb22ef14-ef4d-4693-89eb-b598f6742307	v:rt	2653e0c2-e5d4-4054-a4dd-8a50787981c4	520ba4ddf21c7d0ce65204880750f2e04d864533
fb22ef14-ef4d-4693-89eb-b598f6742307	v:rt	e806fcd4-132a-4812-a379-e63a59635eaf	520ba4ddf21c7d0ce65204880750f2e04d864533
fb22ef14-ef4d-4693-89eb-b598f6742307	v:tag	solvay-1927	520ba4ddf21c7d0ce65204880750f2e04d864533
