subject	predicate	object	context
cdac2fae-f55d-4c0c-9d2a-c7061f3b86f7	v:pt	Erwin Schrödinger	12ec0dff98d30998b7d67936179e34f1d0b9a23b
cdac2fae-f55d-4c0c-9d2a-c7061f3b86f7	v:uf	Erwin Schrodinger	12ec0dff98d30998b7d67936179e34f1d0b9a23b
cdac2fae-f55d-4c0c-9d2a-c7061f3b86f7	v:rt	e806fcd4-132a-4812-a379-e63a59635eaf	12ec0dff98d30998b7d67936179e34f1d0b9a23b
cdac2fae-f55d-4c0c-9d2a-c7061f3b86f7	v:rt	c5850a3c-baf4-4895-abdc-e18483258d76	12ec0dff98d30998b7d67936179e34f1d0b9a23b
cdac2fae-f55d-4c0c-9d2a-c7061f3b86f7	v:rt	7bf2101d-3405-4d60-91c4-72223cadad4c	12ec0dff98d30998b7d67936179e34f1d0b9a23b
cdac2fae-f55d-4c0c-9d2a-c7061f3b86f7	v:rt	b5b64601-f044-4019-9b3f-d41aec4b6b70	12ec0dff98d30998b7d67936179e34f1d0b9a23b
cdac2fae-f55d-4c0c-9d2a-c7061f3b86f7	v:tag	solvay-1927	12ec0dff98d30998b7d67936179e34f1d0b9a23b
