subject	predicate	object	context
4ed62502-2af7-48a8-b1fa-5cb35ce43c35	v:pt	Stored-Program Computer	cddc00134007268dee2df7eceacbfa399f201832
4ed62502-2af7-48a8-b1fa-5cb35ce43c35	v:rt	782fd032-a0b2-476b-ab05-ea12447b8648	cddc00134007268dee2df7eceacbfa399f201832
4ed62502-2af7-48a8-b1fa-5cb35ce43c35	v:rt	Alan Turing	cddc00134007268dee2df7eceacbfa399f201832
4ed62502-2af7-48a8-b1fa-5cb35ce43c35	v:rt	123657f2-0c94-4578-b515-2459ce2d2c66	cddc00134007268dee2df7eceacbfa399f201832
4ed62502-2af7-48a8-b1fa-5cb35ce43c35	v:tag	screed-t1-wave	cddc00134007268dee2df7eceacbfa399f201832
4ed62502-2af7-48a8-b1fa-5cb35ce43c35	v:tag	determinism	cddc00134007268dee2df7eceacbfa399f201832
